Year,Location,Area,Rainfall,Temperature,Soil type,Irrigation,yeilds,Humidity,Crops,price,Season
2011,Siruguppa,1.23,732.1,26.2,Black soil,Canal,89.12,36.2,Sugarcane,328852.8,Whole year
2024,Sindhanur,18.95,730.8,34.3,Red soil,Well,1.34,62.0,Bengalgram,1142685.0,Rabi
2017,Vijaypur,1.14,584.7,33.6,Red soil,Borewell,0.87,55.7,Sunflower,34713.0,Kharif
2016,Vijaypur,19.57,413.6,36.9,Red soil,Well,2.89,49.2,Wheat,904916.8,Rabi
2010,Gangavathi,4.64,892.2,36.3,Sandy loam,Sprinkler,1.3,40.4,Bengalgram,271440.0,Rabi
2019,Siruguppa,16.68,874.8,35.1,Sandy loam,Well,0.89,37.6,Sunflower,519582.0,Zaid
2018,Sindhanur,5.91,860.5,36.8,Black soil,Well,1.5,58.5,Bengalgram,398925.0,Rabi
2015,Gangavathi,15.9,777.0,26.8,Black soil,Sprinkler,1.39,42.7,Bengalgram,994545.0,Rabi
2022,Siruguppa,15.04,509.4,34.7,Black soil,Rainfed,0.95,43.9,Sunflower,500080.0,Rabi
2014,Gangavathi,15.77,753.7,39.4,Sandy loam,Sprinkler,1.05,40.6,Cotton,662340.0,Kharif
2011,Vijaypur,2.61,755.7,41.2,Sandy soil,Sprinkler,1.06,46.1,Bajra,35965.8,Kharif
2016,Siruguppa,11.91,540.2,26.4,Sandy loam,Borewell,17.84,54.3,Vegetables,3187116.0,Zaid
2016,Gangavathi,13.19,556.3,34.7,Sandy loam,Well,75.76,62.3,Sugarcane,2997823.2,Whole year
2020,Vijaypur,2.35,536.3,33.9,Red soil,Rainfed,0.97,46.9,Safflower,68385.0,Rabi
2021,Gangavathi,2.16,773.2,33.2,Red soil,Canal,18.1,44.4,Vegetables,586440.0,Zaid
2023,Gangavathi,2.88,751.5,32.7,Red soil,Drip,1.3,45.7,Bengalgram,168480.0,Rabi
2023,Siruguppa,3.52,663.2,26.3,Black soil,Well,19.17,51.9,Vegetables,1012176.0,Zaid
2019,Siruguppa,16.24,637.3,34.7,Sandy loam,Drip,17.18,49.6,Vegetables,4185048.0,Zaid
2023,Siruguppa,7.13,555.5,34.6,Red soil,Well,0.9,44.1,Sunflower,224595.0,Zaid
2016,Sindhanur,15.05,588.6,34.8,Black soil,Drip,78.66,43.2,Sugarcane,3551499.0,Whole year
2012,Vijaypur,11.57,510.0,37.5,Black soil,Well,0.95,55.6,Sunflower,384702.5,Zaid
2013,Sindhanur,12.34,593.5,32.3,Red soil,Borewell,1.03,54.4,Cotton,508408.0,Kharif
2013,Siruguppa,10.78,508.3,33.0,Black soil,Canal,1.02,52.9,Groundnut,329868.0,Zaid
2011,Vijaypur,15.4,453.5,40.7,Red soil,Rainfed,1.03,48.0,Bajra,206206.0,Kharif
2011,Siruguppa,10.26,546.1,30.1,Sandy loam,Borewell,79.63,56.3,Sugarcane,2451011.4,Whole year
2021,Vijaypur,11.73,398.9,40.7,Sandy soil,Sprinkler,0.71,54.1,Greengram,458056.5,Kharif
2011,Vijaypur,18.98,519.2,40.9,Red soil,Rainfed,0.98,39.5,Sunflower,651014.0,Zaid
2013,Vijaypur,17.48,536.5,33.6,Sandy soil,Rainfed,0.95,31.8,Jowar,232484.0,Kharif
2021,Gangavathi,18.17,716.6,27.5,Red soil,Borewell,1.44,54.8,Bengalgram,1177416.0,Rabi
2012,Sindhanur,15.32,613.7,29.8,Alluvial soil,Canal,3.25,56.8,Paddy,746850.0,Rabi
2012,Vijaypur,19.74,629.7,39.7,Red soil,Rainfed,14.49,48.0,Pomegranate,14301630.0,Whole year
2014,Vijaypur,1.6,596.3,32.5,Sandy soil,Well,0.83,37.3,Greengram,73040.0,Kharif
2017,Vijaypur,17.35,411.8,37.4,Black soil,Sprinkler,21.68,29.3,Grapes,15045920.0,Whole year
2021,Siruguppa,1.71,621.6,31.7,Red soil,Borewell,69.52,44.6,Sugarcane,356637.6,Whole year
2015,Siruguppa,10.69,594.7,31.8,Red soil,Borewell,1.03,41.5,Jowar,154149.8,Rabi
2015,Gangavathi,12.8,836.5,33.8,Red soil,Canal,81.32,45.0,Sugarcane,3122688.0,Whole year
2011,Siruguppa,12.25,592.5,36.7,Red soil,Borewell,81.9,70.7,Sugarcane,3009825.0,Whole year
2018,Sindhanur,12.1,942.0,35.8,Black soil,Borewell,3.04,49.2,Corn,514976.0,Zaid
2020,Vijaypur,13.87,617.4,38.8,Sandy soil,Well,0.98,50.7,Sunflower,475741.0,Zaid
2013,Vijaypur,18.98,533.6,31.1,Red soil,Borewell,0.95,34.9,Sunflower,631085.0,Zaid
2020,Sindhanur,11.03,648.7,36.9,Alluvial soil,Canal,2.94,56.4,Paddy,486423.0,Rabi
2010,Gangavathi,12.68,585.5,29.0,Black soil,Drip,1.08,64.9,Sunflower,479304.0,Rabi
2014,Vijaypur,15.78,776.9,35.4,Black soil,Borewell,0.94,48.8,Sunflower,519162.0,Zaid
2012,Vijaypur,15.5,667.3,35.9,Red soil,Sprinkler,2.63,43.1,Wheat,652240.0,Rabi
2014,Sindhanur,18.72,548.4,35.0,Alluvial soil,Canal,1.33,51.5,Bengalgram,1120392.0,Rabi
2024,Siruguppa,2.29,694.2,32.5,Red soil,Rainfed,1.01,60.6,Sunflower,80951.5,Rabi
2010,Gangavathi,19.89,578.1,33.8,Red soil,Well,0.92,51.1,Sunflower,640458.0,Kharif
2022,Gangavathi,16.68,816.8,27.1,Sandy loam,Well,1.46,48.2,Groundnut,730584.0,Kharif
2011,Vijaypur,3.42,738.9,27.1,Sandy soil,Sprinkler,20.08,41.1,Grapes,2746944.0,Whole year
2023,Gangavathi,12.64,584.1,28.4,Black soil,Canal,0.58,54.2,Horsegram,256592.0,Rabi
2013,Vijaypur,8.87,581.8,30.2,Sandy soil,Rainfed,1.28,30.4,Groundnut,340608.0,Kharif
2016,Vijaypur,11.11,616.6,32.5,Sandy soil,Well,1.37,54.1,Bengalgram,684931.5,Rabi
2013,Vijaypur,7.46,530.0,31.0,Black soil,Rainfed,1.18,52.3,Groundnut,264084.0,Kharif
2021,Siruguppa,3.91,531.7,33.8,Sandy loam,Rainfed,0.88,62.8,Sunflower,120428.0,Zaid
2024,Vijaypur,6.22,400.0,39.9,Black soil,Borewell,1.07,43.9,Jowar,93175.6,Rabi
2014,Siruguppa,5.44,705.7,38.0,Sandy loam,Well,1.1,50.9,Groundnut,179520.0,Zaid
2015,Gangavathi,8.3,634.7,36.4,Red soil,Drip,1.24,51.5,Groundnut,308760.0,Kharif
2016,Sindhanur,2.11,699.1,37.2,Red soil,Canal,76.01,52.5,Sugarcane,481143.3,Whole year
2012,Sindhanur,9.2,612.9,32.1,Alluvial soil,Drip,2.44,42.6,Corn,314272.0,Zaid
2011,Vijaypur,19.96,407.4,38.3,Red soil,Well,17.57,38.2,Vegetables,5260458.0,Zaid
2011,Vijaypur,15.74,768.5,30.5,Black soil,Borewell,0.79,52.0,Sunflower,435211.0,Zaid
2017,Sindhanur,13.74,680.6,34.0,Red soil,Borewell,3.15,59.6,Corn,605934.0,Zaid
2017,Siruguppa,19.23,661.0,29.6,Red soil,Well,22.86,42.2,Onion,8791956.0,Rabi
2013,Vijaypur,12.43,680.1,36.9,Sandy soil,Sprinkler,2.94,39.9,Maize,511618.8,Kharif
2020,Siruguppa,2.21,693.1,37.2,Sandy loam,Borewell,0.89,47.4,Jowar,27536.6,Rabi
2022,Gangavathi,18.58,836.9,37.7,Sandy loam,Well,0.93,60.8,Tur,863970.0,Kharif
2019,Gangavathi,10.13,915.8,35.8,Red soil,Sprinkler,1.35,42.9,Bengalgram,615397.5,Rabi
2018,Gangavathi,19.99,776.3,26.2,Sandy loam,Drip,71.28,54.5,Sugarcane,4274661.6,Whole year
2012,Vijaypur,9.58,477.8,32.3,Sandy soil,Rainfed,17.09,31.9,Grapes,6548888.0,Whole year
2012,Sindhanur,10.6,759.1,38.3,Red soil,Well,1.25,68.3,Bengalgram,596250.0,Rabi
2014,Gangavathi,2.04,884.6,32.5,Black soil,Sprinkler,0.61,48.4,Horsegram,43554.0,Rabi
2023,Sindhanur,3.51,716.8,28.2,Alluvial soil,Borewell,18.39,70.5,Vegetables,968233.5,Zaid
2019,Siruguppa,13.2,514.5,33.7,Sandy loam,Rainfed,3.14,53.3,Paddy,621720.0,Kharif
2017,Siruguppa,16.24,741.2,29.8,Black soil,Borewell,76.98,39.4,Sugarcane,3750465.6,Whole year
2021,Siruguppa,12.33,641.8,32.5,Black soil,Borewell,3.09,42.5,Maize,533395.8,Kharif
2017,Gangavathi,5.21,835.9,33.9,Black soil,Borewell,81.43,46.2,Sugarcane,1272750.9,Whole year
2024,Sindhanur,8.65,544.7,38.9,Black soil,Borewell,2.61,66.0,Paddy,338647.5,Rabi
2016,Gangavathi,6.52,709.9,32.8,Black soil,Canal,3.11,52.7,Wheat,324435.2,Rabi
2014,Vijaypur,12.15,576.0,28.0,Sandy soil,Sprinkler,1.04,34.4,Jowar,176904.0,Rabi
2010,Siruguppa,8.36,574.6,28.5,Red soil,Rainfed,0.9,53.9,Bajra,97812.0,Kharif
2012,Sindhanur,5.95,583.1,33.0,Alluvial soil,Canal,3.1,65.0,Corn,258230.0,Zaid
2018,Siruguppa,15.22,820.4,31.9,Red soil,Drip,76.78,62.9,Sugarcane,3505774.8,Whole year
2015,Vijaypur,10.63,399.6,37.3,Black soil,Borewell,1.11,59.4,Bajra,153390.9,Kharif
2017,Gangavathi,7.06,933.0,36.1,Sandy loam,Sprinkler,0.94,47.3,Sunflower,232274.0,Rabi
2019,Gangavathi,11.88,698.4,35.2,Sandy loam,Canal,83.54,64.7,Sugarcane,2977365.6,Whole year
2012,Vijaypur,12.77,647.5,35.5,Sandy soil,Sprinkler,0.83,37.0,Sunflower,370968.5,Zaid
2021,Sindhanur,6.62,902.6,28.7,Black soil,Drip,1.22,42.4,Cotton,323056.0,Kharif
2020,Sindhanur,3.19,920.7,37.1,Black soil,Borewell,83.13,43.2,Sugarcane,795554.1,Whole year
2019,Vijaypur,11.15,701.6,34.3,Sandy soil,Rainfed,14.93,46.6,Pomegranate,8323475.0,Whole year
2021,Vijaypur,19.65,472.1,31.1,Red soil,Borewell,1.13,61.4,Jowar,310863.0,Rabi
2024,Vijaypur,5.83,535.7,40.2,Black soil,Sprinkler,17.95,54.0,Vegetables,1569727.5,Zaid
2021,Vijaypur,7.25,491.3,31.8,Red soil,Rainfed,0.99,50.0,Sunflower,251212.5,Zaid
2013,Vijaypur,5.8,683.6,31.7,Black soil,Borewell,1.06,45.4,Jowar,86072.0,Rabi
2018,Siruguppa,2.46,503.1,30.8,Red soil,Canal,1.53,55.2,Bengalgram,169371.0,Rabi
2024,Sindhanur,6.76,744.9,30.3,Alluvial soil,Canal,88.1,64.5,Sugarcane,1786668.0,Whole year
2024,Siruguppa,18.47,813.3,36.3,Black soil,Well,25.47,39.3,Onion,9408618.0,Rabi
2014,Siruguppa,6.14,602.7,36.6,Red soil,Canal,77.1,60.1,Sugarcane,1420182.0,Whole year
2017,Siruguppa,17.84,710.8,34.8,Red soil,Drip,1.06,49.2,Groundnut,567312.0,Zaid
2022,Gangavathi,14.51,660.1,34.6,Black soil,Borewell,1.36,56.7,Bengalgram,888012.0,Rabi
2016,Gangavathi,8.84,748.5,34.3,Red soil,Canal,2.79,52.9,Wheat,394617.6,Rabi
2015,Siruguppa,7.98,671.0,37.9,Black soil,Borewell,1.56,34.6,Bengalgram,560196.0,Rabi
2016,Gangavathi,2.81,792.3,34.2,Red soil,Well,0.9,43.0,Tur,126450.0,Kharif
2015,Gangavathi,9.82,688.5,29.1,Red soil,Sprinkler,0.92,76.1,Tur,451720.0,Kharif
2018,Vijaypur,15.85,656.0,36.4,Sandy soil,Sprinkler,19.11,46.2,Grapes,12115740.0,Whole year
2015,Gangavathi,11.67,595.4,34.1,Black soil,Well,2.87,53.5,Maize,468900.6,Kharif
2012,Vijaypur,10.45,481.3,35.2,Black soil,Sprinkler,1.12,34.6,Groundnut,351120.0,Kharif
2021,Vijaypur,0.92,565.3,37.8,Red soil,Well,20.28,44.6,Grapes,746304.0,Whole year
2010,Sindhanur,1.67,711.7,36.3,Black soil,Drip,3.06,57.2,Paddy,76653.0,Kharif
2024,Gangavathi,13.09,859.3,35.8,Red soil,Borewell,83.69,67.0,Sugarcane,3286506.3,Whole year
2011,Vijaypur,11.02,516.9,36.9,Sandy soil,Rainfed,13.55,55.2,Pomegranate,7466050.0,Whole year
2020,Sindhanur,0.94,845.6,29.9,Red soil,Drip,77.1,43.7,Sugarcane,217422.0,Whole year
2010,Vijaypur,18.78,476.0,32.2,Sandy soil,Well,23.54,41.4,Grapes,17683248.0,Whole year
2013,Vijaypur,12.16,509.1,29.7,Sandy soil,Well,1.27,29.9,Jowar,216204.8,Kharif
2013,Siruguppa,1.6,615.9,29.2,Sandy loam,Borewell,83.31,62.4,Sugarcane,399888.0,Whole year
2010,Gangavathi,4.81,679.0,28.8,Red soil,Borewell,19.34,61.8,Vegetables,1395381.0,Zaid
2021,Sindhanur,7.93,571.7,32.3,Alluvial soil,Borewell,79.06,56.8,Sugarcane,1880837.4,Whole year
2023,Vijaypur,5.2,497.1,30.4,Black soil,Rainfed,20.52,50.0,Grapes,4268160.0,Whole year
2013,Sindhanur,3.11,775.9,38.6,Black soil,Borewell,81.07,59.0,Sugarcane,756383.1,Whole year
2020,Gangavathi,4.21,889.8,27.0,Red soil,Drip,1.26,62.4,Cotton,212184.0,Kharif
2014,Siruguppa,4.73,853.4,33.0,Red soil,Borewell,3.05,56.0,Maize,201971.0,Kharif
2021,Siruguppa,9.84,888.6,27.1,Red soil,Drip,1.46,65.6,Bengalgram,646488.0,Rabi
2014,Sindhanur,10.91,750.3,37.2,Red soil,Borewell,86.01,49.3,Sugarcane,2815107.3,Whole year
2015,Gangavathi,16.87,554.0,38.4,Black soil,Borewell,86.69,55.2,Sugarcane,4387380.9,Whole year
2014,Vijaypur,11.29,701.1,37.2,Sandy soil,Sprinkler,1.06,36.1,Redgram,658207.0,Kharif
2014,Sindhanur,11.24,598.0,34.7,Alluvial soil,Borewell,1.16,45.9,Bengalgram,586728.0,Rabi
2024,Vijaypur,14.55,473.0,38.5,Red soil,Borewell,13.93,33.4,Pomegranate,10134075.0,Whole year
2023,Siruguppa,15.4,856.1,37.8,Black soil,Well,1.37,54.7,Chilli,1265880.0,Kharif
2020,Sindhanur,1.68,589.0,28.8,Alluvial soil,Drip,1.38,51.6,Cotton,92736.0,Kharif
2010,Vijaypur,14.58,591.1,33.2,Sandy soil,Rainfed,1.0,31.6,Bajra,189540.0,Kharif
2014,Vijaypur,12.59,750.2,34.8,Red soil,Rainfed,1.27,40.6,Bengalgram,719518.5,Rabi
2020,Vijaypur,14.1,744.9,34.4,Red soil,Well,2.87,38.6,Maize,566538.0,Kharif
2017,Siruguppa,0.68,678.3,32.8,Red soil,Canal,1.06,38.8,Bajra,9370.4,Kharif
2014,Vijaypur,18.07,742.0,39.5,Sandy soil,Sprinkler,0.89,42.3,Sunflower,562880.5,Zaid
2013,Siruguppa,1.14,841.6,36.9,Black soil,Canal,1.2,49.9,Cotton,54720.0,Kharif
2016,Sindhanur,17.06,656.7,34.0,Alluvial soil,Borewell,84.71,51.3,Sugarcane,4335457.8,Whole year
2019,Sindhanur,5.03,799.7,30.4,Black soil,Borewell,1.15,45.2,Cotton,231380.0,Kharif
